RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
128,15000128,Martinez,823,Germany,Female,57,10,85893.81,4,1,0,124112.88,0
129,15000129,Brown,701,France,Female,33,8,99045.71,1,1,0,33459.19,1
130,15000130,Garcia,403,France,Male,25,2,136974.46,3,1,1,93269.34,1
131,15000131,Davis,472,Germany,Male,56,1,84550.03,2,1,0,71632.98,0
132,15000132,Williams,602,France,Male,47,6,198571.25,2,1,0,113692.48,1
133,15000133,Johnson,365,France,Male,56,2,148070.91,2,1,1,46236.08,1
134,15000134,Johnson,792,Germany,Female,69,5,183377.83,1,1,0,15379.73,1
135,15000135,Johnson,727,France,Male,57,3,100563.78,3,0,1,28034.54,1
136,15000136,Johnson,613,Spain,Male,55,6,136387.69,2,1,0,107527.77,0
137,15000137,Williams,801,France,Male,23,8,45589.72,3,1,1,110787.73,0
138,15000138,Garcia,521,Germany,Male,40,4,180599.25,2,1,1,58711.41,0
139,15000139,Jones,418,France,Female,40,5,128556.79,4,1,0,54431.15,1
140,15000140,Jones,788,Spain,Female,60,10,13527.07,1,0,0,124351.66,1
141,15000141,Johnson,503,Germany,Male,51,2,54145.34,1,0,0,116682.62,0
142,15000142,Brown,472,Spain,Male,53,3,10211.53,4,1,1,52652.14,1
143,15000143,Rodriguez,718,Germany,Male,25,6,109998.24,1,1,0,126886.78,1
144,15000144,Smith,386,Spain,Female,46,3,87318.25,4,0,0,129576.36,0
145,15000145,Martinez,735,Germany,Male,52,9,187881.04,4,1,0,111865.51,1
146,15000146,Miller,390,France,Male,49,2,90708.44,4,1,1,12654.28,1
147,15000147,Martinez,355,France,Female,44,4,136843.91,3,1,0,63889.32,0
148,15000148,Brown,781,France,Female,58,1,97819.95,1,1,1,43255.37,1
149,15000149,Williams,496,Germany,Male,46,7,87571.99,2,0,0,16562.12,0
150,15000150,Williams,479,Spain,Male,37,3,164618.61,2,0,1,143037.37,0
151,15000151,Garcia,556,Spain,Male,22,7,57799.62,4,1,1,46403.91,1
152,15000152,Brown,457,Spain,Male,48,3,53305.79,1,0,1,76476.5,0
153,15000153,Smith,631,Germany,Male,25,8,177985.54,3,0,1,118220.31,0
154,15000154,Rodriguez,849,Spain,Female,64,9,59930.91,1,0,0,29212.29,0
155,15000155,Johnson,569,France,Male,37,4,36442.62,4,0,0,88281.11,1
156,15000156,Brown,445,France,Male,26,1,180725.64,2,1,1,107012,1
157,15000157,Rodriguez,636,Germany,Female,29,9,72560.4,2,1,1,93222.21,1
158,15000158,Davis,582,France,Female,28,5,157787.01,1,1,1,104691.68,1
159,15000159,Johnson,840,Spain,Male,46,1,126045.68,3,1,1,97772.82,1
160,15000160,Garcia,621,France,Female,31,5,192927.98,1,1,0,128995.48,0
161,15000161,Jones,599,Germany,Male,45,0,147438.18,4,0,1,111074.33,0
162,15000162,Martinez,457,Spain,Female,46,7,34801.56,1,0,1,58823.63,0
163,15000163,Rodriguez,380,France,Female,21,6,42422.32,3,1,1,66900.72,1
164,15000164,Davis,707,France,Male,63,2,111808.75,2,1,0,41218.89,0
165,15000165,Miller,545,France,Male,40,1,169461.63,3,1,0,107440.54,0
166,15000166,Garcia,759,Germany,Female,44,8,94207.03,1,1,0,16612.41,0
167,15000167,Jones,452,France,Female,22,2,9103.84,2,1,0,147788.69,0
168,15000168,Brown,804,France,Female,50,10,45241.14,3,0,1,80004.48,0
169,15000169,Williams,673,France,Male,34,3,47954.4,1,0,0,23058.79,1
170,15000170,Miller,726,Spain,Female,50,6,65839.38,1,1,0,76206.68,0
171,15000171,Davis,486,Spain,Male,67,8,99105.33,2,1,1,69773.51,0
172,15000172,Johnson,560,France,Female,19,6,189761.18,1,1,0,134052.32,1
173,15000173,Rodriguez,719,Spain,Male,67,0,86665.67,3,1,1,75141.7,1
174,15000174,Smith,436,France,Female,66,2,173707.57,2,0,0,89050.72,0
175,15000175,Jones,612,Germany,Female,22,9,125031.3,1,1,1,10335.49,1
176,15000176,Jones,417,Germany,Female,66,0,116722.97,1,0,0,58316.39,1
177,15000177,Williams,473,France,Female,43,3,87812.86,2,1,1,54081.68,0
178,15000178,Garcia,558,France,Male,62,5,74490.39,2,0,1,148302.75,0
179,15000179,Williams,691,Spain,Male,69,0,40705.07,1,0,1,87055.02,0
180,15000180,Smith,769,Spain,Male,63,7,3562.52,3,1,1,108864.63,0
181,15000181,Smith,368,France,Female,22,7,152569.05,1,1,1,83573.37,0
182,15000182,Davis,427,Spain,Female,18,7,15900.4,2,1,0,143578.18,1
183,15000183,Jones,510,France,Male,61,2,136450.4,1,1,0,61532.32,1
184,15000184,Garcia,728,Germany,Female,37,0,50806.9,4,0,1,85915.23,1
185,15000185,Johnson,845,France,Female,27,3,69248.29,4,0,1,149321.47,0
186,15000186,Miller,464,France,Male,58,5,100291.82,4,0,0,142759.42,0
187,15000187,Jones,697,France,Male,49,3,178984.95,1,1,0,146057.85,1
188,15000188,Jones,655,Spain,Female,30,3,57860.38,1,1,1,59966.7,1
189,15000189,Jones,723,Germany,Male,37,6,108161.45,4,0,0,130939.28,0
190,15000190,Rodriguez,819,Germany,Female,63,4,33522.65,1,0,1,107707.32,0
191,15000191,Rodriguez,842,Germany,Female,26,6,71238.39,2,0,1,76963.82,0
192,15000192,Smith,561,France,Male,31,7,80750.16,2,0,0,77960.56,1
193,15000193,Garcia,602,Germany,Male,44,8,102409.67,2,0,0,85552.47,0
194,15000194,Miller,367,Germany,Female,28,7,93719.82,2,1,1,108794.47,0
195,15000195,Davis,790,Germany,Female,61,6,73136.81,3,0,0,31475.49,1
196,15000196,Davis,719,Germany,Male,62,5,191975.95,1,1,1,63194.21,1
197,15000197,Davis,466,Spain,Male,58,8,179877.14,2,0,1,32189.15,0
198,15000198,Davis,629,Spain,Female,57,10,35250.8,4,0,1,15192.84,0
199,15000199,Smith,826,France,Female,37,2,29819.96,3,1,1,51155.9,0
200,15000200,Miller,627,France,Male,36,7,56842.75,4,1,1,57798.27,0
201,15000201,Johnson,473,France,Male,55,10,47328.64,4,1,1,66246.92,0
202,15000202,Brown,676,Germany,Female,48,0,82382.11,2,1,0,103227.41,0
203,15000203,Brown,569,Germany,Male,56,0,160484.35,3,0,1,96694.52,1
204,15000204,Johnson,635,France,Male,46,7,161687.54,1,0,0,102420.76,0
205,15000205,Williams,381,Germany,Female,70,2,192453.1,3,1,0,127195.16,1
206,15000206,Garcia,499,France,Female,59,4,52418.64,1,0,0,87581.95,1
207,15000207,Garcia,508,Spain,Female,25,7,106871.46,4,1,1,128963.84,1
208,15000208,Garcia,847,France,Male,20,4,121403.87,3,0,1,76535.71,1
209,15000209,Smith,706,France,Male,32,1,82721.28,3,1,0,66166.48,1
210,15000210,Martinez,596,Germany,Male,47,1,154204.2,4,0,0,123648.08,0
211,15000211,Martinez,832,Spain,Male,28,2,73892.24,3,1,0,107347.89,1
212,15000212,Williams,558,Spain,Female,27,8,107937.13,1,1,0,66409.77,0
213,15000213,Miller,432,Germany,Male,49,10,108444.83,1,0,1,30218.09,0
214,15000214,Davis,444,Germany,Male,30,1,167618.96,1,0,1,121421.73,0
215,15000215,Miller,579,Spain,Male,43,8,82452.68,4,0,0,117543.58,0
216,15000216,Garcia,791,France,Male,24,2,23064.58,3,0,0,18777.37,1
217,15000217,Rodriguez,560,France,Female,42,2,43486.71,4,1,1,99179.45,0
218,15000218,Jones,431,France,Male,48,10,51759.09,4,1,1,35697.67,0
219,15000219,Garcia,683,Spain,Male,55,5,123082.68,4,0,0,52963.53,1
220,15000220,Williams,671,France,Female,25,4,106419.73,3,1,1,83952.08,1
221,15000221,Jones,373,France,Female,41,5,92421.33,2,0,0,83370.77,0
222,15000222,Martinez,824,Germany,Male,55,3,38202.13,1,0,1,68210.27,0
223,15000223,Martinez,684,Spain,Male,64,10,112.07,4,0,0,130029.46,1
224,15000224,Brown,827,Germany,Female,33,9,13237.92,2,0,1,87815.44,0
225,15000225,Jones,491,Spain,Male,37,6,3629.99,4,0,0,38578.51,1
226,15000226,Johnson,504,Germany,Female,55,8,120817.8,3,1,1,72029.62,0
227,15000227,Jones,659,France,Female,35,8,167895.04,1,0,0,25009,1
228,15000228,Miller,435,Germany,Female,41,9,184275.05,1,0,0,35953.09,1
229,15000229,Jones,547,Germany,Female,37,7,186575.97,1,1,0,43554.54,0
230,15000230,Smith,826,France,Male,35,2,6421.82,4,0,0,93885.38,1
231,15000231,Williams,484,France,Female,25,9,784.09,2,0,0,10100.48,0
232,15000232,Williams,418,Germany,Male,60,5,103722.22,1,0,1,97537.64,1
233,15000233,Rodriguez,660,Germany,Female,35,6,79467.46,3,1,1,61951.22,1
234,15000234,Martinez,527,Spain,Female,46,1,98464.92,1,0,1,93811.65,0
235,15000235,Jones,710,France,Male,47,0,89885.91,2,1,0,99386.11,0
236,15000236,Davis,499,Spain,Male,26,10,157247.69,2,1,0,97582.76,1
237,15000237,Davis,831,Germany,Female,30,8,194997.96,3,0,1,109238.48,0
238,15000238,Martinez,578,Spain,Male,45,9,15360.61,3,0,1,123948.43,0
239,15000239,Jones,584,France,Female,43,2,128771.5,1,0,1,139017.48,0
240,15000240,Jones,530,Germany,Male,47,3,74464.66,4,0,1,40026.38,0
241,15000241,Miller,714,France,Female,33,4,152948.84,1,1,1,131786.18,1
242,15000242,Miller,371,Spain,Male,62,0,170723.98,2,0,0,98644.96,1
243,15000243,Brown,693,Spain,Male,28,5,185222.16,4,0,0,95490.41,0
244,15000244,Williams,528,France,Male,63,3,173816.92,4,1,1,75398.09,1
245,15000245,Rodriguez,708,France,Male,29,9,100628.94,2,1,0,44917.62,0
246,15000246,Davis,596,Germany,Female,58,4,21340.32,2,0,1,118468.62,0
247,15000247,Garcia,793,Spain,Female,37,4,112930.23,3,0,0,79465.16,0
248,15000248,Smith,515,Spain,Male,67,0,25127.66,3,0,1,118576.04,0
249,15000249,Martinez,840,Spain,Female,46,2,73962.35,2,0,0,135488.19,1
250,15000250,Rodriguez,817,Germany,Female,41,1,68696.4,2,1,1,29342.79,1
251,15000251,Johnson,367,Germany,Female,61,9,76574.34,2,0,1,128815.6,0
252,15000252,Davis,788,France,Male,27,2,186526.27,2,1,0,44523.33,0
253,15000253,Smith,822,France,Female,32,6,32069.01,1,0,0,29383.3,1
254,15000254,Martinez,825,Germany,Male,68,6,148099.39,3,0,0,144296.3,1
255,15000255,Martinez,390,France,Female,68,0,174943.59,2,0,0,128575.37,0
256,15000256,Brown,488,Germany,Female,44,8,190077.1,3,1,0,74832.1,0
257,15000257,Williams,468,France,Male,28,3,175680.47,3,0,0,85321.2,1
258,15000258,Miller,454,France,Male,62,10,132171.92,4,1,1,115357.37,0
259,15000259,Davis,685,Germany,Female,22,7,87756.83,4,1,1,20787.9,0
260,15000260,Rodriguez,503,France,Male,57,8,84987.17,1,0,0,110176.67,0
261,15000261,Rodriguez,432,France,Female,55,2,158075.23,3,0,0,120318.01,1
262,15000262,Brown,826,Germany,Female,59,0,125529.73,1,0,1,27301.19,0
263,15000263,Jones,368,Spain,Male,49,6,14904.94,1,1,1,56237.69,0
264,15000264,Jones,566,Germany,Male,57,3,130150.86,3,0,0,111854.7,1
265,15000265,Smith,453,France,Male,33,7,88934.65,4,0,1,101564.76,1
266,15000266,Davis,383,France,Female,31,2,20694.17,3,0,1,15514.22,0
267,15000267,Garcia,396,Spain,Female,58,8,186143.11,4,0,1,64269.59,0
268,15000268,Williams,835,France,Female,21,5,142216.93,1,0,1,55947.09,0
269,15000269,Jones,655,France,Female,19,10,65247.63,4,0,1,114575.76,1
270,15000270,Garcia,664,Germany,Female,25,2,170968.62,4,1,1,121743.12,0
271,15000271,Rodriguez,548,France,Female,50,8,22481.09,4,0,0,61373.08,0
272,15000272,Williams,483,France,Female,27,2,57858.15,2,0,1,30890.84,0
273,15000273,Martinez,635,Spain,Male,41,0,186380.1,3,1,1,149410.73,0
274,15000274,Jones,587,Spain,Female,45,2,81731.63,1,1,0,58435.92,0
275,15000275,Garcia,842,Germany,Female,31,0,193494.33,4,1,1,100165.02,0
276,15000276,Garcia,673,France,Female,56,9,20948.3,1,1,0,69596.83,1
277,15000277,Johnson,475,Spain,Male,36,3,139274.66,1,1,1,27153.8,0
278,15000278,Miller,670,Germany,Male,52,3,40739.27,1,1,0,119685.85,0
279,15000279,Rodriguez,651,France,Female,34,7,24172.85,2,1,1,28166.81,0
280,15000280,Johnson,711,Germany,Male,42,7,30724.26,2,0,1,40431.55,0
281,15000281,Garcia,382,Spain,Male,25,0,162910.49,4,0,0,139268.98,0
282,15000282,Davis,595,Germany,Male,66,5,186795.95,4,1,0,140800.07,1
283,15000283,Martinez,446,Spain,Male,51,0,94977.52,4,1,1,91629.08,1
284,15000284,Garcia,836,Germany,Female,23,1,40049.72,3,0,1,97058.48,0
285,15000285,Brown,648,Germany,Female,46,6,190977.47,3,0,1,77435.79,0
286,15000286,Rodriguez,713,Spain,Male,38,8,192718.55,2,1,0,148189.79,0
287,15000287,Jones,573,Spain,Male,42,4,55784.51,1,0,1,16941.74,1
288,15000288,Miller,718,Spain,Female,41,7,168108.45,2,1,1,107994.99,1
289,15000289,Brown,809,Spain,Female,22,7,117920.79,2,0,1,66103.19,0
290,15000290,Davis,589,France,Male,29,6,182057.98,4,1,1,10924.14,1
291,15000291,Smith,644,Germany,Female,69,4,164180.74,1,0,0,81963.66,0
292,15000292,Miller,366,Spain,Female,25,9,40080.13,4,1,1,130592.36,1
293,15000293,Martinez,504,Spain,Male,35,0,131303.51,3,0,0,99903.05,0
294,15000294,Davis,395,Spain,Female,43,0,133401.07,2,1,1,46060.08,0
295,15000295,Johnson,489,France,Female,35,10,24430.02,3,1,0,50334.6,0
296,15000296,Miller,671,France,Female,21,0,94672.96,2,0,1,100164.52,0
297,15000297,Davis,414,France,Female,54,3,31640.69,1,1,0,52384.26,0
298,15000298,Williams,492,France,Male,32,4,145885.73,1,1,1,136379.22,1
299,15000299,Rodriguez,381,Spain,Male,53,9,103970.53,2,0,0,20840.3,1
300,15000300,Williams,388,Germany,Male,30,9,72035.43,2,0,1,66976.27,0
301,15000301,Williams,545,Germany,Male,56,8,46890.34,4,0,0,99308.42,1
302,15000302,Jones,453,France,Female,24,10,94710.86,3,0,0,59605.81,0
303,15000303,Rodriguez,781,France,Female,40,5,56367.52,2,0,0,25879.32,0
304,15000304,Martinez,710,Spain,Female,31,8,76318.67,2,0,0,55324.79,0
305,15000305,Williams,652,Germany,Female,40,6,70790.53,3,0,1,97475.07,0
306,15000306,Williams,359,France,Male,42,6,59122.34,4,1,1,135534.94,0
307,15000307,Davis,747,France,Female,22,4,121849.28,4,1,1,11514.89,1
308,15000308,Jones,729,Germany,Female,26,10,14761.7,2,0,1,112765.9,0
309,15000309,Rodriguez,705,France,Female,42,7,28655.99,4,0,0,111157.77,1
310,15000310,Garcia,379,Spain,Female,28,8,29487.09,2,0,1,38479.8,0
311,15000311,Jones,448,France,Male,24,3,67610.89,1,0,1,124988.03,1
312,15000312,Miller,760,Germany,Female,23,9,191207.3,1,0,1,112347.19,0
313,15000313,Miller,727,Germany,Male,18,8,53836.79,1,1,0,64188.29,0
314,15000314,Johnson,765,France,Female,43,0,118080.46,3,0,0,51372.99,0
315,15000315,Williams,564,Germany,Male,46,9,112506.96,4,0,1,11743.39,0
316,15000316,Johnson,820,France,Female,63,4,177616.51,1,1,0,146596.52,0
317,15000317,Brown,458,Spain,Female,37,5,54432.75,3,1,0,138406.46,0
318,15000318,Brown,660,Germany,Male,60,0,41892.54,2,1,0,131668.11,0
319,15000319,Garcia,653,Spain,Female,65,10,69443.33,1,0,0,17869.77,1
320,15000320,Miller,562,France,Female,52,5,97678.84,1,0,0,120156.2,1
321,15000321,Johnson,546,France,Male,67,3,137538.74,4,1,1,21532.28,1
322,15000322,Garcia,541,Germany,Male,25,5,97734.02,1,0,1,84586.92,0
323,15000323,Jones,637,Germany,Female,36,10,100819.73,4,1,1,112520.12,0
324,15000324,Smith,453,Spain,Male,61,5,93263.52,4,0,0,85273.98,1
325,15000325,Smith,415,France,Male,49,0,122854.46,2,1,1,55924.58,0
326,15000326,Smith,590,Germany,Female,23,10,132016.29,2,1,0,27846.23,1
327,15000327,Davis,440,Spain,Female,22,9,13536.62,3,0,0,143291.79,0
328,15000328,Garcia,777,France,Female,34,0,159832.22,2,0,0,144147.02,0
329,15000329,Williams,453,Spain,Male,53,6,87321.39,1,0,0,35297.88,1
330,15000330,Williams,844,Spain,Male,68,0,72237.01,4,1,0,15721.6,0
331,15000331,Johnson,765,France,Female,40,10,6568.61,1,1,0,126009.91,1
332,15000332,Davis,430,Spain,Male,56,5,40002.33,4,0,1,27483.24,1
333,15000333,Miller,396,France,Male,66,3,41811.15,4,1,1,77937.53,0
334,15000334,Brown,592,Spain,Female,40,5,116794.67,3,1,0,49225.37,1
335,15000335,Brown,692,Germany,Female,45,5,63082.05,3,1,0,65833.82,1
336,15000336,Brown,581,France,Male,27,1,142195.41,2,1,1,62846.41,1
337,15000337,Garcia,731,Germany,Female,60,7,123095.55,2,1,0,19206.53,0
338,15000338,Davis,563,Spain,Female,43,4,77580.87,4,1,0,46068.41,0
339,15000339,Jones,843,Germany,Female,44,5,90176.76,2,0,1,28478.57,0
340,15000340,Jones,578,Germany,Male,58,8,100904.53,1,0,0,50131.2,1
341,15000341,Davis,649,Germany,Female,25,9,49380.24,1,0,0,17343.4,0
342,15000342,Jones,810,France,Male,28,5,43090.99,1,0,0,127373.4,1
